,Description,Stars,Reviews,Price,Amazon prime,Best seller
17,"Sandisk Ultra Flair Memoria Flash USB 3.0 de 32 GB con hasta 150 MB/s de Velocidad de Lectura, Silver","4,5",14.520,"5,99",Yes,Yes
18,"Lexar JumpDrive S75 - Memoria USB 3.0 de 32 GB, Negro","4,1",1.136,"13,61",Yes,No
19,Licyley 5 Piezas Memoria USB 64GB Pendrive Impermeable Mental USB Flash Drive con Llavero Portátil para Llevar (64GB),"4,6",184,"32,99",Yes,No
20,USB 3.1 Flash Drive - MAGIX Stealth - Super Speed Up to 100 MB/s (32GB),"4,5",473,"4,69",Yes,No
21,SunData 16GB Memorias USB 3 Piezas PenDrives 16GB Unidad Flash USB2.0 Giratoria Pen Drive con Luz LED (3 Colores: Azul Verde Rojo),"4,5",559,"12,99",Yes,No
22,"Pendrives 16 GB 5 Piezas Memorias USB 3.0, Portátil Pen Drive 16GB Flash Drives para Almacenamiento de Datos, Kepmem Alta Velocidad USB3.0 Memoria Externo Stick, Multicolor","4,0",74,"25,99",Yes,No
23,"Memorias USB 16GB 2.0 KOOTION USB Pendrive 16Gigas 2.0 Flash Drive USB Stick 3 Piezas Pen Drive de Colores Pack 3 Unidades, Azul, Verde, Púrpura","4,4",1.524,"13,98",Yes,No
24,16GB Memorias USB 5 Piezas PenDrives - Giratoria Pen Drive 16 GB Unidad Flash USB 2.0 - Almacenamiento de Datos Externo,"4,3",161,"17,99",Yes,No
25,"32GB Memorias USB 5 Piezas Metal PenDrives Pen Drive 32 GB Portátil Unidad Flash USB 2.0, Negro","4,5",81,"20,99",Yes,No
26,"3 Piezas Memorias USB 32GB Pen Drive USB 32GB Unidad Flash USB 2.0 Almacenamiento de Datos Externo(Negro,Rojo,Azul","4,4",88,"13,99",Yes,No
27,"Morias USB 64 GB,5 Piezas PenDrives Memoria Flash USB 2.0 JUYUKEJI Mini Unidad Flash Unidad de Memoria USB Resistente al Agua con Carcasa de Metal, Plateada (64GB * 5)","4,3",218,"24,99",Yes,No
28,Memoria USB 3.0 16GB Pen Drive - Cool 16 GB Pendrive Divertido Negro Llave USB Gamepad Unidad Flash USB3.0 - FEBNISCTE Almacenamiento de Datos Económico Flash Drive Regalo de Cumpleaños para Niños,"4,5",1.125,"13,99",Yes,No
29,DBigness Cute Blue Unicorn Horse PVC USB 2.0 Flash Drives Divertido regalo de dibujos animados USB Memory Stick Almacenamiento de datos Pendrive (16GB),"5,0",7,"15,99",Yes,No
30,"TOPESEL 64GB Memoria USB 3.0 Tipo C Dual OTG Flash Drive USB C Pendrives Llave Portátiles para Samsung Galaxy S8, S8 Plus, Note 8, LG G6, V30, Google Pixel XL, Negro","4,2",2.582,"13,98",Yes,No
31,"ARCANITE - Memoria USB 3.1 de 128 GB, Flash Drive, Velocidad de lectura de hasta 400 MB/s","4,5",2.066,"28,99",Yes,No
32,KEXIN 16GB Memoria USB 3.0 Pendrive Flash USB Stick 2 Piezas 16GB Memoria Flash Drive 3.0 para PC Laptop Tableta Mac(Negro Azul),"4,3",1.436,"12,99",Yes,No
33,"Fesaymi - Memoria USB (16 GB, 3 unidades, memorias USB 2.0, portátiles USB con cordones giratorios, almacenamiento de datos), color negro",,,"20,99",No,No
34,Philips SNOW 3.0 - Memoria USB de 16 GB,"4,5",2.296,"8,25",Yes,No
35,"PNY FD16GATT4-EF - Memoria USB 2.0 de 16 GB (25 MB/s), color negro","4,3",1.357,"3,99",Yes,No
36,"UFARID Botella Flotante USB 3.0 Memoria USB Memory Stick Lápiz USB Transparente con Caja de Madera Regalos de Empresa para computadoras, Audio para Autos, etc. (16GB)","4,6",178,"12,88",Yes,No
37,SanDisk DYSK USB 2.0 CRUZER BLADE 16 GB,"4,5",7,"3,92",Yes,No
38,KOOTION Pendrive 16GB 3.0 Memoria USB 16GB 3.0 Flash Drive 16 Gigas Pack 10 Unidades Pincho USB Set 10 Piezas Pen Drives USB Stick Multi-Colores,"4,5",687,"49,99",Yes,No
39,SanDisk Memoria Flash USB 64 GB para tu smartphone Android - Ultra Dual DriveType-C - USB 3.1,"4,5",26.295,"14,99",Yes,No
40,"Unidad flash USB RUEOTSK, paquete de 5 unidades de memoria flash USB 2.0 giratorias de 16 GB (azul rojo púrpura verde negro)","4,6",34,"18,89",Yes,No
41,"8GB Memoria Flash USB, SRVR 3Pack USB2.0 Unidades de Pulgar Giratorias Almacenamiento de Datos Unidad Jump Unidad Zip Tarjetas de Memoria Dispositivos Externos con Indicador LED (3 Colores)","4,1",43,"13,59",Yes,No
42,"Memorias USB 32GB, Mini Pen Drive 32GB USB Stick Metal Impermeable USB Flash Drive 32 GB con Llavero Colgante para Almacenamiento de Datos Externo","4,4",3.712,"5,58",Yes,No
43,"Memorias USB 32GB, Mini Pendrive 32GB USB Unidad Flash Impermeable Memoria Stick 32 GB Colgante para Almacenamiento de Datos Externo","4,4",5.087,"6,89",Yes,No
44,A Plus+ 10 Piezas Memoria USB 3.0 DE 16GB Corazón de Madera USB 3.0 Flash Drive + 10 Piezas Cajas de Madera Decoración,"4,4",219,"99,99",Yes,No
45,"Memorias USB 16GB, 2 Unidades Pen Drive 16 GB USB Unidad Flash Memoria Stick 16GB con Llavero Colgante para Almacenamiento de Datos (Azul, Negro)","4,3",1.643,"8,98",Yes,No
46,"Premium Crystal DJ Stick - Memoria USB 3.0, 16GB, RojoLED - with illuminated DJ hologram","4,2",61,"36,90",Yes,No
47,"UFARID Memoria USB 3.0 Flash Drive Pendrive Memory Stick Memoria de Almacenamiento Thumb Drive para Computadoras Colores Mezclados (16GB, Azul)","4,8",6,"11,27",Yes,No
48,Onlineworld2013 Lindo Osito de Peluche con Orejas Amarillas de pie. Divertido Dispositivo USB Stick 16 GB USB 3.0,,,"15,90",No,No
49,"Verbatim 98696 - Memoria USB 2.0 de 16 GB, color negro","4,3",177,"3,90",Yes,No
50,"Memoria Flash SanDisk Cruzer Spark USB 2.0 de 16 GB, Rosa","4,5",2.347,"4,99",Yes,No
51,"Unidad Memoria Flash USB 3.0 32 GB Memoria Lápiz Drive OTG PHICOOL [4 en 1] con Type C Conector USB Mirco Expansión de Memoria para iPhone, iPad, Android, PC - Negro","4,2",1.706,"18,39",Yes,No
52,"YANODA 3.0 Motocycle Unidad Flash USB GP Moto Pen Drive Moto Memoria Stick 4GB 8GB 16GB 32GB 64GB USB Stick Flash Drive Pen Drive (Capacity : 64GB, Color : B)","5,0",1,"22,44",Yes,No
53,Memoria USB 3.0 16GB 5 Piezas Pendrives - Portátil Multicolor Pen Drive 16 GB Unidad Flash USB 5 Unidades - Metal Práctica Flash Drives Regalo Empresa para Documentos Presentaciones Anuncia by Datarm,"3,8",127,"28,56",Yes,No
54,"SanDisk Ultra Fit, Memoria flash USB 3.1 de 64 GB con hasta 130 MB/s de velocidad de lectura,Tradicional,Negro,64GB","4,6",46.867,"11,41",Yes,No
55,yaxiny 16 GB 3.0 de Arce Madera Unidad flash USB con caja de madera (16.0 GB),"4,0",214,"12,00",Yes,No
56,"Memoria USB Linda 16GB 5 Piezas, Wiedeus Unidad Flash USB Linda con Forma de Animal, 5 x Regalos de Pen Drive Almacenamiento Externo","4,8",6,"27,98",Yes,No
57,"32GB Mini Memorias USB 5 Piezas PenDrives - 32 GB Portátil Unidad Flash USB 2.0 Flash Drive Memoria Stick para Computadoras, Tabletas y Otros Dispositivos (Oro)","4,3",70,"22,99",Yes,No
58,"Pistola de Masaje Muscular,NetDot Masajeador de Percusión de Mano de Tejido Profundo, Masajeador Profesional para Aliviar el Dolor Muscular","4,1",156,"45,90",Yes,No
59,5 unidades de memoria USB de madera para almacenamiento de datos marrón maple 3.0 16GB,,,"39,25",No,No
60,"Memoria USB de 512 GB/1024 GB, memoria USB para fotos, memoria USB externa (1 TB, rojo)","2,0",17,"18,61",Yes,No
61,"32GB Memorias USB 5 Piezas Metal PenDrives Pen Drive 32 GB Portátil Unidad Flash USB 2.0, Negro","4,5",81,"20,99",Yes,No
62,16GB Memorias USB 5 Piezas PenDrives - Giratoria Pen Drive 16 GB Unidad Flash USB 2.0 - Almacenamiento de Datos Externo,"4,3",161,"17,99",Yes,No
63,"Morias USB 64 GB,5 Piezas PenDrives Memoria Flash USB 2.0 JUYUKEJI Mini Unidad Flash Unidad de Memoria USB Resistente al Agua con Carcasa de Metal, Plateada (64GB * 5)","4,3",218,"24,99",Yes,No
64,"Toshiba Hayabusa - Memoria USB 2.0 de 16 GB, color blanco","4,5",11.823,,No,No
65,"SanDisk Ultra Fit, Memoria flash USB 3.1 de 64 GB con hasta 130 MB/s de velocidad de lectura,Tradicional,Negro,64GB","4,6",46.867,"11,41",Yes,No
66,"Kingston DataTraveler 106 (DT106/16GB) USB 3.0, Memoria Flash, 16 GB, Negro y Rojo","4,4",1.626,"9,99",Yes,No
67,"Integral Courier 16GB USB 3.0 (3.1 Gen 1) Capacity Azul, Plata Unidad Flash USB - Memoria USB (16 GB, USB 3.0 (3.1 Gen 1), USB Type-A Connector, 80 MB/s, Tapa, Azul, Plata)","4,6",752,"17,23",Yes,No
68,"Memoria Flash SanDisk Cruzer Spark USB 2.0 de 16 GB, Rosa","4,5",2.347,"4,99",Yes,No
69,"Pen Drive 32 GB, Mini Memorias USB 32 GB USB Flash Drive Memoria Stick 32GB con Llavero Colgante para Computadoras, Tabletas y Otros Dispositivos (Oro)","4,4",3.712,"5,51",Yes,No
70,A Plus+ 10 Piezas 16GB Regalo de Bodas Memoria USB 3.0 de 16GB USB 3.0 Stick Transparente,"4,1",24,"89,99",Yes,No
71,"YANODA 3.0 Motocycle Unidad Flash USB GP Moto Pen Drive Moto Memoria Stick 4GB 8GB 16GB 32GB 64GB USB Stick Flash Drive Pen Drive (Capacity : 64GB, Color : B)","5,0",1,"22,44",Yes,No
72,Memoria USB 3.0 16GB 5 Piezas Pendrives - Portátil Multicolor Pen Drive 16 GB Unidad Flash USB 5 Unidades - Metal Práctica Flash Drives Regalo Empresa para Documentos Presentaciones Anuncia by Datarm,"3,8",127,"28,56",Yes,No
73,"Kingston DataTraveler G4 DTIG4/32 GB - Memoria USB 3.0, 32 GB, Color Blanco/Rojo","4,5",15.227,"6,67",Yes,No
74,"SanDisk SDCZ33-016G-G35, Memoria con USB 2.0, 16GB, Negro/Plata","4,6",45.847,"7,98",Yes,No
75,16GB Memorias 2 Piezas USB 2.0 ENUODA Pendrive Giratoria Diseño Flash Drive Almacenamiento (Azul Morado),"4,1",5.328,"9,99",Yes,No
76,"KEXIN 128GB Memoria USB Tipo C y USB 3.0 OTG Flash Drive Pendrive 128GB 2 en 1 Memory Stick para Portátil, Teléfono y Otras Dispositivos USB o Tipo C [128GB, Negro]","4,1",3.686,"29,99",Yes,No
77,Pen Drive 16GB 2 Unidades Memorias USB 3.0 Divertida Pendrive 16 GB 2 Piezas Unidad Flash USB Almacenamiento Externo Flash Drives Económico Regalo para Fecha de la Boda by FEBNISCTE,"4,4",253,"24,99",Yes,No
78,"Memorias USB 16GB, Pendrives Flash 5 Piezas USB 2.0 Sticks Flash Drives(Plata)","4,3",264,"20,99",Yes,No
79,"Kingston DT50/16GB Llave Usb, 16 Gb, Verde","4,3",4.983,,No,No
80,Memoria USB Personalizada con el Texto Que tú decidas–Elige Entre 15 Colores Diferentes - USB 3.0-8GB o 16GB o 32GB - un Regalo Original y único,"4,7",1.044,"29,90",Yes,No
81,Emtec USB 3.0 B250 16GB,"4,4",11,"5,87",Yes,No
82,SanDisk Memoria flash USB Ultra Dual de 16 GB con USB 3.0 y hasta 130 MB/s,"4,3",5.497,"8,59",Yes,No
83,"Memoria USB Flash Drives con cierre de cremallera y hoja de arce de bambú (16 GB USB 3.0, bambú)",,,"21,00",No,No
84,"3 Piezas Memorias USB 32GB Pen Drive USB 32GB Unidad Flash USB 2.0 Almacenamiento de Datos Externo(Negro,Rojo,Azul","4,4",88,"13,99",Yes,No
85,"Pendrives 3.0 16 GB 5 Piezas Memorias USB, Metal Pen Drives 16GB Girar Flash Drive, Kepmem Portátil USB3.0 Memoria Externo Stick para computadora, Verde","4,0",74,"26,99",Yes,No
86,"32GB Mini Memorias USB 5 Piezas PenDrives - 32 GB Portátil Unidad Flash USB 2.0 Flash Drive Memoria Stick para Computadoras, Tabletas y Otros Dispositivos (Oro)","4,3",70,"22,99",Yes,No
87,"5 Piezas Memoria USB 32 GB Mini Pen Drive 32GB Metal U Disk USB Flash Drive para Computadoras, Tabletas Almacenamiento de Datos (Negro)","4,5",28,"22,99",Yes,No
88,"RAOYI Pendrive 16GB Memorias USB 3.0, 10 Unidades Pen Drive 16GB Memoria Flahs Drive para PC, Colores USB[10Unidades, Colores]","4,2",5,"47,99",Yes,No
89,Lorenlli Mini Metal USB Flash Drive 16GB Pen Drive USB 2.0 Flash Stick Pendrive,"5,0",1,"0,39",Yes,No
90,16GB Memorias USB 5 Piezas PenDrives - Giratoria Pen Drive 16 GB Unidad Flash USB 2.0 - Almacenamiento de Datos Externo,"4,3",161,"17,99",Yes,No
91,"USB de madera de la marca Generic, con caja de madera incluida (16GB)","4,1",8,"10,37",Yes,No
92,"LUCKCRAZY Memoria USB de madera de 16 GB de memoria USB 2.0 con caja de regalo (16 GB, flash USB de madera)","4,5",680,"12,99",Yes,No
93,Memoria USB 3.0 de madera de arce de 16 GB con caja de madera (3.0 16 GB),,,"11,99",No,No
94,"Corsair Flash Survivor Stealth v2, Unidad de Memoria Flash USB 3.0 de 16 GB (diseño Robusto, Resistente al Agua), Color Negro (CMFSS3B-16GB)","4,4",2.744,"25,99",Yes,No
95,"Uflatek 16 GB Memoria USB 3.0, Chocolate Modelo Pendrive Alta Velocidad Flash Drive Marrón Color U-Disk Almacenamiento De Datos","4,5",92,"13,11",Yes,No
96,"SanDisk Cruzer Snap - Memoria Flash USB de 16 GB, Negro","4,4",142,"8,55",Yes,No
97,Samsung Muf-32Ab/Eu,"4,7",310,"12,09",Yes,No
98,"Unidad Memoria Flash USB 3.0 32 GB Memoria Lápiz Drive OTG PHICOOL [4 en 1] con Type C Conector USB Mirco Expansión de Memoria para iPhone, iPad, Android, PC - Negro","4,2",1.706,"18,39",Yes,No
99,"16GB Memorias USB 5 Piezas Mini USB Sticks Pendrive 16GB Memoria Flash con Colgante Almacenamiento de Datos Externo, Negro","3,7",12,"17,99",Yes,No
100,Philips Pendrive USB 3.0 128 GB - Snow Edition (Orange),"4,1",377,"17,10",Yes,No
101,Transcend TS16GJF700 - Memoria USB 3.0 de 16 GB,"4,0",5.568,"8,87",Yes,No
102,"Lote de 3 memorias USB de 16 GB USB 2.0 Flash Drive Memoria Stick Almacenamiento Rotación Disco Penrive Unidad USB Flash Diseño de Rotación, con Indicador LED","3,0",2,"19,77",Yes,No
103,"Pendrive 64 GB, Memoria USB 3.0 3 en 1 Pen Drive Tipo C USB 3.0 Type C OTG Unidad Flash portátil Memoria Stick USB Impermeable para Almacenamiento de Datos Externo/Windows/Android/PC/Tabletas","4,1",133,"14,79",Yes,No
104,maxineer Memoria USB 64GB Pendrive para iPhone Android iPad iPod Computadoras Laptops 3 en 1 Flash Drive USB 3.0 (64GB),"4,1",374,"19,99",Yes,No
105,"Pen Drive 16GB, Memoria USB 16GB Vansuny Mini Memoria Flash Drive USB 2.0 con Llavero y Led Indicador para Computadoras,Tabletas y Otros Dispositivos (Azul Verde y Plata, 3x16GB)","4,2",239,"15,98",Yes,No
106,Integral Neon - Memoria USB Rosa/Amarillo/Azul. 3 x 16GB,"4,4",545,"19,06",Yes,No
107,"Kanguru ALK-FB30-16G Unidad Flash USB 16 GB USB Tipo A 3.0 (3.1 Gen 1) Azul - Memoria USB (16 GB, USB Tipo A, 3.0 (3.1 Gen 1), 145 MB/s, Girar, Azul)","4,5",193,"34,87",Yes,No
108,"KEXIN Memoria USB 32GB, Pendrive USB 3.0 de Alta Velocidad Memoria Flash Drive USB 3.0, 5 Piezas para Computadora, Tableta, MacOS[ Negro Azul Verde Rojo Amarillo]","4,2",1.005,"32,99",Yes,No
109,"SanDisk Ultra Dual Drive Go para Dispositivos con USB Type-C, 64 GB, Negro","4,5",3.702,"18,99",Yes,No
110,"Integral Courier Dual USB Stick USB3.0 con 256 bit AES cifrado, FIPS 197 Certificado Negro/Plateado 16 GB","3,9",19,"43,87",Yes,No
111,"MECO ELEVERDE Pendrive 64 GB USB 3.0 USB Tipo C OTG Memoria USB Memory Stick Flash Drive Interfaz USB 3.1& 3.0 con Llave Impermeable Compatible con Type C Smartphone/Tablet/Laptop, iPhone Except","4,2",1.328,"19,99",Yes,No
112,"WAYSTA Memoria USB 3.0 tipo C de 32 GB para tabletas, nuevo Macbook, USB C Android, smartphones, Samsung, Huawei, Oneplus, etc. (negro)",,,"6,99",No,No
113,"Anloter Maple Wooden - Memoria USB 3.0 (32 GB, USB 3.0, 4 GB, 8 GB, 16 GB, 32 GB, 64 GB, 128 GB)","4,5",2,"15,41",Yes,No
114,"Memoria USB de Madera de Arce, USB 2.0/3.0, Almacenamiento de Datos con Caja de Madera 3.0 16GB","4,5",64,"12,90",Yes,No
115,"Memoria USB de 16 GB, 3 unidades, USB 2.0, unidad flash Pen Drive Thumb Drive Data, almacenamiento de datos, Multicolor con 3 cintas (3 colores)","4,0",5,"21,36",Yes,No
116,5 unidades de memoria USB de madera para almacenamiento de datos marrón maple 3.0 16GB,,,"39,25",No,No
117,"Memorias USB 16GB 2.0 Pendrives 5 Piezas KOOTION Flash Drive 16 Giga Pen Drives Memory USB Stick Pack 5 Unidades Pen USB, Negro, Blanco, Rojo, Amarillo, Púrpura","4,5",685,"18,99",Yes,No
118,"Pendrive 16GB Memoria USB Joyas Cristal Pen Drive Lápiz Labial USB 3.0 Flash Drives 16 GB Memorias Stick Externo Rhinestone Almacenamiento de Datos con Collar, Llavero para Video, Mp3, Foto de Kepmem","4,4",223,"13,55",Yes,No
119,"Unidad flash USB de madera Memory Stick pulgar disco Pen Drive almacenamiento de datos con caja de madera (3.0 16GB, madera de nogal)",,,"11,52",No,No
120,KEXIN 16GB USB Pendrive 5 Piezas Memoria Flash USB Drive 3.0 Pen Drive Retráctil 16GB para Computadoras PC Windows Mac OS,"4,3",542,"25,99",Yes,No
121,"Morias USB 64 GB,5 Piezas PenDrives Memoria Flash USB 2.0 JUYUKEJI Mini Unidad Flash Unidad de Memoria USB Resistente al Agua con Carcasa de Metal, Plateada (64GB * 5)","4,3",218,"24,99",Yes,No
122,"32GB Mini Memorias USB 5 Piezas PenDrives - 32 GB Portátil Unidad Flash USB 2.0 Flash Drive Memoria Stick para Computadoras, Tabletas y Otros Dispositivos (Oro)","4,3",70,"22,99",Yes,No
123,"3 Piezas Memorias USB 32GB Pen Drive USB 32GB Unidad Flash USB 2.0 Almacenamiento de Datos Externo(Negro,Rojo,Azul","4,4",88,"13,99",Yes,No
124,"Anloter Maple Wooden - Memoria USB 3.0 (32 GB, USB 3.0, 4 GB, 8 GB, 16 GB, 32 GB, 64 GB, 128 GB)","4,5",2,"15,41",Yes,No
125,"Memoria USB de Madera de Arce, USB 2.0/3.0, Almacenamiento de Datos con Caja de Madera 3.0 16GB","4,5",64,"12,90",Yes,No
126,"Memoria USB de 16 GB, 3 unidades, USB 2.0, unidad flash Pen Drive Thumb Drive Data, almacenamiento de datos, Multicolor con 3 cintas (3 colores)","4,0",5,"21,36",Yes,No
127,"16GB Unidad Flash USB, Cardfuss 3 Pack USB2.0 Memory Stick Swivel Thumb Drives USB Stick Jump Drive Pen Drive Almacenamiento de Datos con indicador LED (Multicolor con Cuerdas de Seguridad)","4,3",35,"19,79",Yes,No
128,"Pen Drive 16GB Memoria USB 3.0 Gris Flash Drive Kepmem Divertidos Lovely Almacenamiento de Datos Externo para PC, computadora, Mac","4,4",20,"12,55",Yes,No
129,"64GB Memoria USB, BorlterClamp Unidad Flash USB de Puerto Doble (USB 3.0 y Puerto Micro USB), OTG Memory Stick Pendrive para Smartphones, Tabletas y Computadoras (Negro)","4,2",306,"17,98",Yes,No
130,Pendrive 16GB Pulsera USB 3.0 Almacenamiento de Datos Externo Kepmem Elegante Pulsera USB 2.0 Memoria Flash Stick Negro Regalo para Amigo,"4,2",156,"11,66",Yes,No
131,"Uflatek 16 GB Pendrive Diseño Fútbol Memorias USB 3.0 Flash Drive Portatil U Disk Blanco Thumb Drive Expansión De Memoria para Computadoras, PC y Tableta","4,5",26,"13,11",Yes,No
132,"Sony MicroVault X 3.0 - Memoria USB de 16 GB, Rosa","4,0",5.656,"10,50",Yes,No
133,5 Unidades de Memoria Kingston Technology de 16 GB DataTraveler 100 generación 3 USB 3.0 (Paquete de 5 Unidades DT100G3/16 GB),"4,5",333,"29,99",Yes,No
134,YOHU 256GB Pendrive para iPhone Photo Stick Memoria USB para iPhone y iPad Android Laptops Flash Drive Expansión (Negro),"4,4",58,"27,99",Yes,No
135,Looffy Memoria USB 64GB para iPhone Memoria iOS Flash Drive USB 3.0 con Tipo C para iPhone iPad Android Móvil Tableta PC Macbook 4 in 1,"4,4",956,"27,99",Yes,No
136,"Pendrive 64 GB, Memoria USB 3.0  con Hebilla Colgante USB Unidad Flash Impermeable Memoria Stick USB Lápiz de Memoria con Llavero para Almacenamiento de Datos Externo/Windows/PC/Tabletas","4,2",2.578,"15,99",Yes,No
137,"MECO ELEVERDE Pendrive OTG 64 GB USB 3.0 Tipo C con Cubierta Protectora Memoria USB 64 GB Flash Drive USB C Memory Stick Interfaz USB 3.1& 3.0 Compatible con Type C Samsung, iPhone Not Compatible","4,3",759,"18,99",Yes,No
138,"Pendrive 32 GB 3.0, Tipo C Memoria USB 32GB Metal Pen Drive USB C Memoria Flash USB Stick 32GB para Smartphones Android, Windows, Android, PC, Tabletas etc (Negro)","4,5",20,"8,88",Yes,No
139,"Memoria USB 32GB 3.0, Pen Drive 32 GB Memoria Stick 32gb Mini Flash Drive Pendrive 32 GB para Computadoras, Tabletas y Otros Dispositivos (Negro)","4,2",11,"7,99",Yes,No
140,"KOOTION Memoria USB Tipo C 64GB 3.0 Pendrive Type C 64 Giga OTG Pen USB C Dual Flash Drive USB C Pen Drive Doble Entrada, Azul","4,1",433,"13,99",Yes,No
141,"TPSON 16GB Memorias USB 10 Piezas Mini USB Stick Metal Pendrive 16GB Memoria Flash con Colgante Almacenamiento de Datos, Negro","4,2",13,"31,99",Yes,No
142,"SanDisk SDCZ71 - Memoria USB 2.0 de 16 GB, color Plateado","4,5",10.794,"5,99",Yes,No
143,"Gigastone USB 3.0 serie 3.1 32 GB 32 GB, 1 paquete.","4,4",739,"9,99",Yes,No
144,KEXIN 16GB Memoria USB 3.0 Pendrive Flash USB Stick 2 Piezas 16GB Memoria Flash Drive 3.0 para PC Laptop Tableta Mac(Negro Azul),"4,3",1.436,"12,99",Yes,No
145,"Memoria USB de 512 GB/1024 GB, memoria USB para fotos, memoria USB externa (1 TB, rojo)","2,0",17,"18,61",Yes,No
146,"32GB Memorias USB 5 Piezas Metal PenDrives Pen Drive 32 GB Portátil Unidad Flash USB 2.0, Negro","4,5",81,"20,99",Yes,No
147,16GB Memorias USB 5 Piezas PenDrives - Giratoria Pen Drive 16 GB Unidad Flash USB 2.0 - Almacenamiento de Datos Externo,"4,3",161,"17,99",Yes,No
148,"IBISHITAOXUNBAIHUOD - Memoria flash USB (impermeable, 4 GB, 8 GB, 16 GB, 32 GB, 64 GB, USB 2.0)",,,,No,No
149,"32 GB USB 3.0 - Memoria USB de madera con caja de madera (3.0 32 GB, madera roja)","4,3",24,"15,99",Yes,No
150,"Memoria USB 32gb 3.0, Metal Pen Drive 32 GB USB 3.0 Flash Drive Impermeable Memoria Stick 32gb con Llavero para Computadoras, Tabletas Almacenamiento DE Datos Externo (Plata)","4,3",1.562,"8,99",Yes,No
151,WANSENDA Memoria USB 3.0 Pendrive Flash Drive Dual Drive OTG Memoria Stick 256GB 128GB 64GB 32GB 16GB Pen Drive Almacenamiento Externo para Dispositivos Android/PC/Tablet,"4,1",444,"40,99",Yes,No
152,SIMMAX Memoria Flash USB 32GB 3 Piezas Pen Drive USB 2.0 Giratoria Flash Drive Thumb Drive (32GB Rosado Azul Verde),"4,4",3.888,"14,99",Yes,No
153,"FeliSun Memoria Flash USB 3.0 16GB 32GB 64GB Metal Forma de La Casa Memoria USB Drive USB Key para PC, Televisión, Coche (16GB)","4,2",92,"9,99",Yes,No
154,"OTG Memoria USB 3.0, Colourstone 64GB Pendrive del Puerto Dual Compatible con Samsung Huawei Smartphones y Tablets Memoria Externa (Morado 3.0-64GB)","3,9",38,"13,59",Yes,No
155,"USB 3.0 Pen Drive 32 GB, Penobon 3 en 1 Memoria Flash USB Lápiz Drive OTG para iPhone, iPad, Android, PC, Rosa","4,1",120,"16,99",Yes,No
